2023-03-30T13:01:01.813Z	OUT	NLHLXELAAD0002	127.0.0.1:57759	[3,"lRNjonJXYlMpFAOeEmdoMboVxwY2Ru74CLet",{}]
2023-03-30T13:01:03.003Z	OUT	NLHLXELAAD0002	127.0.0.1:57759	[2,"900006","TriggerMessage",{"requestedMessage":"BootNotification"}]
2023-03-30T13:01:03.113Z	IN	NLHLXELAAD0002	127.0.0.1:57759	[3,"900006",{"status":"Accepted"}]
2023-03-30T13:01:03.180Z	IN	NLHLXELAAD0002	127.0.0.1:57759	[2,"0nHPRV6ZXL5czZJD20Yrnzk6kj1pwYboCi5V","BootNotification",{"chargePointModel":"TEST","chargePointVendor":"HLX","firmwareVersion":"4.7.0-rc.15","iccid":"8931081221054066560","imsi":"204080805317875"}]
2023-03-30T13:01:03.288Z	OUT	NLHLXELAAD0002	127.0.0.1:57759	[3,"0nHPRV6ZXL5czZJD20Yrnzk6kj1pwYboCi5V",{"status":"Accepted","currentTime":"2023-03-30T13:01:03.287Z","interval":300}]
2023-03-30T13:01:03.523Z	IN	NLHLXELAAD0002	127.0.0.1:57759	[2,"63uUHqyAJBDC1dthTXe68WmvuEcyobKlX78e","StatusNotification",{"connectorId":0,"errorCode":"NoError","status":"Available","timestamp":"2023-03-30T13:01:04.066Z"}]
2023-03-30T13:01:03.642Z	OUT	NLHLXELAAD0002	127.0.0.1:57759	[3,"63uUHqyAJBDC1dthTXe68WmvuEcyobKlX78e",{}]
2023-03-30T13:01:03.945Z	IN	NLHLXELAAD0002	127.0.0.1:57759	[2,"qze10j4sGqQZEwWFJB15FWuux7YL7XsqQPjJ","StatusNotification",{"connectorId":1,"errorCode":"NoError","status":"Available","timestamp":"2023-03-30T13:01:04.066Z"}]
2023-03-30T13:01:04.065Z	OUT	NLHLXELAAD0002	127.0.0.1:57759	[3,"qze10j4sGqQZEwWFJB15FWuux7YL7XsqQPjJ",{}]
2023-03-30T13:01:07.092Z	OUT	NLHLXELAAD0002	127.0.0.1:57759	[2,"900007","TriggerMessage",{"requestedMessage":"BootNotification"}]
